id,number,title,source,year,difficulty,pdfUrl,new_difficulty,primary_category,secondary_tags,notes
cmhhw2ld10039l504hpvk6j2p,LH-IOL-2008-5,IOL 2008 Problem 5,IOL,2008,5,/olympiad-problems/IOL/by-year/2008/iol-2008-i5.pdf,,,,
cmhhw48oy004hl504ekbufwpk,LH-IOL-2009-1,IOL 2009 Problem 1,IOL,2009,1,/olympiad-problems/IOL/by-year/2009/iol-2009-i1.pdf,,,,
cmhhw4e0q004ll504isifnzgo,LH-IOL-2009-2,IOL 2009 Problem 2,IOL,2009,2,/olympiad-problems/IOL/by-year/2009/iol-2009-i2.pdf,,,,
cmhhw4jcj004pl5043ngewjrs,LH-IOL-2009-3,IOL 2009 Problem 3,IOL,2009,2,/olympiad-problems/IOL/by-year/2009/iol-2009-i3.pdf,,,,
cmhhxanxl003ol2047prxasda,LH-IOL-2009-4,IOL 2009 Problem 4,IOL,2009,4,/olympiad-problems/IOL/by-year/2009/iol-2009-i4.pdf,,,,
cmhhxat90003sl204liwure0a,LH-IOL-2009-5,IOL 2009 Problem 5,IOL,2009,4,/olympiad-problems/IOL/by-year/2009/iol-2009-i5.pdf,,,,
cmhhw2qoh003dl5047oouojfo,LH-IOL-2010-1,IOL 2010 Problem 1: Budukh,IOL,2010,1,/olympiad-problems/IOL/by-year/2010/iol-2010-i1.pdf,,,,
cmhhw2w5y003hl504qxkh649e,LH-IOL-2010-2,IOL 2010 Problem 2: Murrinhpatha,IOL,2010,2,/olympiad-problems/IOL/by-year/2010/iol-2010-i2.pdf,,,,
cmhhw31hd003ll5046gpqm1yc,LH-IOL-2010-3,IOL 2010 Problem 3: Ulwa,IOL,2010,2,/olympiad-problems/IOL/by-year/2010/iol-2010-i3.pdf,,,,
cmhhw36sw003pl504gm27xjku,LH-IOL-2010-4,IOL 2010 Problem 4: Inuktitut,IOL,2010,3,/olympiad-problems/IOL/by-year/2010/iol-2010-i4.pdf,,,,
cmhhw3cab003tl5047zvbhtyx,LH-IOL-2010-5,IOL 2010 Problem 5: Lezgian,IOL,2010,4,/olympiad-problems/IOL/by-year/2010/iol-2010-i5.pdf,,,,
cmhhxayqc003wl204qkaksqec,LH-IOL-2011-1,IOL 2011 Problem 1,IOL,2011,1,/olympiad-problems/IOL/by-year/2011/iol-2011-i1.pdf,,,,
cmhhxb41r0040l2040b0onk3x,LH-IOL-2011-2,IOL 2011 Problem 2,IOL,2011,2,/olympiad-problems/IOL/by-year/2011/iol-2011-i2.pdf,,,,
cmhhxb9j80044l204hrp8clum,LH-IOL-2011-3,IOL 2011 Problem 3,IOL,2011,2,/olympiad-problems/IOL/by-year/2011/iol-2011-i3.pdf,,,,
cmhhxbeuk0048l2045e53xg3x,LH-IOL-2011-4,IOL 2011 Problem 4,IOL,2011,4,/olympiad-problems/IOL/by-year/2011/iol-2011-i4.pdf,,,,
cmhhxbkbw004cl204gm258a9u,LH-IOL-2011-5,IOL 2011 Problem 5,IOL,2011,4,/olympiad-problems/IOL/by-year/2011/iol-2011-i5.pdf,,,,
