id,number,title,source,year,difficulty,pdfUrl,new_difficulty,primary_category,secondary_tags,notes
cmhhxpzs7007tl404nsfrexm1,LH-IOL-2016-1,IOL 2016 Problem 1,IOL,2016,1,/olympiad-problems/IOL/by-year/2016/iol-2016-i1.pdf,,,,
cmhhxq59o007xl404hv9m8501,LH-IOL-2016-2,IOL 2016 Problem 2,IOL,2016,2,/olympiad-problems/IOL/by-year/2016/iol-2016-i2.pdf,,,,
cmhhxqakv0081l4048gthfkf0,LH-IOL-2016-3,IOL 2016 Problem 3,IOL,2016,2,/olympiad-problems/IOL/by-year/2016/iol-2016-i3.pdf,,,,
cmhhxqfwx0085l404qq850rcu,LH-IOL-2016-4,IOL 2016 Problem 4,IOL,2016,4,/olympiad-problems/IOL/by-year/2016/iol-2016-i4.pdf,,,,
cmhhxqle20089l404azdur4ym,LH-IOL-2016-5,IOL 2016 Problem 5,IOL,2016,4,/olympiad-problems/IOL/by-year/2016/iol-2016-i5.pdf,,,,
