id,number,title,source,year,difficulty,pdfUrl,new_difficulty,primary_category,secondary_tags,notes
cmhhw3hlr003xl5040uv4mwmn,LH-IOL-2019-1,IOL 2019 Problem 1: Maltese,IOL,2019,1,/olympiad-problems/IOL/by-year/2019/iol-2019-i1.pdf,,,,
cmhhw3n390041l504smuolx34,LH-IOL-2019-2,IOL 2019 Problem 2: Murrinh-Patha,IOL,2019,2,/olympiad-problems/IOL/by-year/2019/iol-2019-i2.pdf,,,,
cmhhw3seo0045l504jztuea04,LH-IOL-2019-3,IOL 2019 Problem 3: Georgian,IOL,2019,2,/olympiad-problems/IOL/by-year/2019/iol-2019-i3.pdf,,,,
cmhhw3xw40049l504o188dvso,LH-IOL-2019-4,IOL 2019 Problem 4: Basque,IOL,2019,4,/olympiad-problems/IOL/by-year/2019/iol-2019-i4.pdf,,,,
cmhhw437j004dl504px79oyyv,LH-IOL-2019-5,IOL 2019 Problem 5: Kaytetye,IOL,2019,5,/olympiad-problems/IOL/by-year/2019/iol-2019-i5.pdf,,,,
