id,number,title,source,year,difficulty,pdfUrl,new_difficulty,primary_category,secondary_tags,notes
cmhhxqqpd008dl404a8hsqhbh,LH-IOL-2017-1,IOL 2017 Problem 1,IOL,2017,1,/olympiad-problems/IOL/by-year/2017/iol-2017-i1.pdf,,,,
cmhhxqw6l008hl40407w2vw3g,LH-IOL-2017-2,IOL 2017 Problem 2,IOL,2017,2,/olympiad-problems/IOL/by-year/2017/iol-2017-i2.pdf,,,,
cmhhxr1ho008ll404szksed90,LH-IOL-2017-3,IOL 2017 Problem 3,IOL,2017,2,/olympiad-problems/IOL/by-year/2017/iol-2017-i3.pdf,,,,
cmhhxr6yq008pl404djznkw0e,LH-IOL-2017-4,IOL 2017 Problem 4,IOL,2017,4,/olympiad-problems/IOL/by-year/2017/iol-2017-i4.pdf,,,,
cmhhxrc9x008tl4047u27l5mh,LH-IOL-2017-5,IOL 2017 Problem 5,IOL,2017,4,/olympiad-problems/IOL/by-year/2017/iol-2017-i5.pdf,,,,
