id,number,title,source,year,difficulty,pdfUrl,new_difficulty,primary_category,secondary_tags,notes
cmhhxrjou008xl4044irub94e,LH-IOL-2018-1,IOL 2018 Problem 1,IOL,2018,1,/olympiad-problems/IOL/by-year/2018/iol-2018-i1.pdf,,,,
cmhhxrp060091l404sn97gqsu,LH-IOL-2018-2,IOL 2018 Problem 2,IOL,2018,2,/olympiad-problems/IOL/by-year/2018/iol-2018-i2.pdf,,,,
cmhhxrubb0095l404h7933u40,LH-IOL-2018-3,IOL 2018 Problem 3,IOL,2018,2,/olympiad-problems/IOL/by-year/2018/iol-2018-i3.pdf,,,,
cmhhxrzse0099l4040pnwrne8,LH-IOL-2018-4,IOL 2018 Problem 4,IOL,2018,4,/olympiad-problems/IOL/by-year/2018/iol-2018-i4.pdf,,,,
cmhhxs53j009dl4048e171zis,LH-IOL-2018-5,IOL 2018 Problem 5,IOL,2018,4,/olympiad-problems/IOL/by-year/2018/iol-2018-i5.pdf,,,,
