id,number,title,source,year,difficulty,pdfUrl,new_difficulty,primary_category,secondary_tags,notes
cmhhxsakl009hl404qs6i9u0i,LH-IOL-2021-1,IOL 2021 Problem 1,IOL,2021,1,/olympiad-problems/IOL/by-year/2021/iol-2021-i1.pdf,,,,
cmhhxsfvq009ll404gissal1r,LH-IOL-2021-2,IOL 2021 Problem 2,IOL,2021,2,/olympiad-problems/IOL/by-year/2021/iol-2021-i2.pdf,,,,
cmhhxslct009pl40470f50z2n,LH-IOL-2021-3,IOL 2021 Problem 3,IOL,2021,2,/olympiad-problems/IOL/by-year/2021/iol-2021-i3.pdf,,,,
cmhhxsqo2009tl4041y8gp9a6,LH-IOL-2021-4,IOL 2021 Problem 4,IOL,2021,4,/olympiad-problems/IOL/by-year/2021/iol-2021-i4.pdf,,,,
cmhhxsw5p009xl404irwjn52b,LH-IOL-2021-5,IOL 2021 Problem 5,IOL,2021,4,/olympiad-problems/IOL/by-year/2021/iol-2021-i5.pdf,,,,
